_RAJ2000_1,_DEJ2000_1,Source,RAJ2000_1,DEJ2000_1,Link,Speak,e_Speak,SpeakTot,e_SpeakTot,Maj,Min,e_Min,DCMaj,DCMin,PA,e_PA,DCPA,Islrms,SCode,Mosaic,Npoint,MaskFract,_RAJ2000_2,_DEJ2000_2,ID,RAJ2000_2,DEJ2000_2,z,IR,WISE,logLIR,e_logLIR,Xray,BAT,logLX,Rad,NVSS,FIRST,Class,logLRad,e_logLRad,Broad,logLBr,e_logLBr,DR15,Sloan,Simbad,NED,recno,Separation
119.48629,39.99339,ILTJ075756.71+395936.2,119.48629,39.99339,https://vo.astron.nl/getproduct/LoTSS-DR2/P120+39    ,144.119,0.471,217.481,2.361,10.8,9,0.03,8.98,6.71,137.84,0.93,137.84,0.471,M,P120+39    ,3,1,119.486336,39.993366,9182-6102  ,119.486336,39.993366,0.066118,1,1,44.254387,43.33093,0,0,0,1,1,1,HERG,45.620094,46.771576,0,0,0,1,Sloan,Simbad,NED,340,0.150761498
223.99223,32.62583,ILTJ145558.14+323733.0,223.99223,32.62583,https://vo.astron.nl/getproduct/LoTSS-DR2/P225+32    ,33.376,0.128,483.714,1.687,29.01,14.61,0.04,28.39,13.33,106.92,0.31,106.92,0.128,M,P225+32    ,4,1,223.99287,32.62572,9002-12703 ,223.99287,32.62572,0.084546,0,1,0,0,0,0,0,1,1,0,LERG,45.814262,46.967648,0,0,0,1,Sloan,Simbad,NED,270,1.983480062
132.59343,55.37911,ILTJ085022.42+552244.7,132.59343,55.37911,https://vo.astron.nl/getproduct/LoTSS-DR2/P133+55    ,14.807,0.089,52.377,1.246,37.03,6.7,0.02,36.54,2.98,109.92,0.27,109.92,0.089,M,P133+55    ,3,1,132.59502,55.378742,8724-12703 ,132.59502,55.378742,0.031069,0,1,0,0,0,0,0,1,1,1,LERG,44.315483,45.45399,0,0,0,1,Sloan,Simbad,NED,219,3.503287139
163.66405,47.86197,ILTJ105439.37+475143.0,163.66405,47.86197,https://vo.astron.nl/getproduct/LoTSS-DR2/P3Hetdex16 ,1.667,0.056,23.92,0.62,19.27,17.07,0.57,18.31,15.98,30.07,12.48,30.07,0.056,M,P3Hetdex16 ,2,1,163.66383,47.86228,8998-12705 ,163.66383,47.86228,0.073317,0,1,0,0,0,0,0,0,1,0,,0,0,1,45.15391,5.7733207,0,Sloan,Simbad,NED,265,1.238675477
236.94289,28.64249,ILTJ154746.29+283832.9,236.94289,28.64249,https://vo.astron.nl/getproduct/LoTSS-DR2/P237+30    ,1.985,0.146,30.016,1.525,23.74,18.92,1.13,22.97,17.94,14.62,13.25,14.62,0.146,M,P237+30    ,2,1,236.94151,28.641697,9041-12701 ,236.94151,28.641697,0.033553,0,1,0,0,0,0,0,1,1,0,,44.25761,45.395535,0,0,0,1,Sloan,Simbad,NED,296,5.194719387
235.94228,28.41559,ILTJ154346.14+282456.1,235.94228,28.41559,https://vo.astron.nl/getproduct/LoTSS-DR2/P237+30    ,3.299,0.186,35.306,2.297,15.86,11.3,0.59,14.68,9.57,178.92,8.55,178.92,0.186,M,P237+30    ,1,1,235.94193,28.41521,9041-9102  ,235.94193,28.41521,0.033052,0,1,0,0,0,0,0,1,1,0,,43.86758,45.001545,0,0,0,1,Sloan,Simbad,NED,298,1.761222762
157.1794,39.83887,ILTJ102843.06+395019.9,157.1794,39.83887,https://vo.astron.nl/getproduct/LoTSS-DR2/P157+40    ,7.369,0.074,21.013,0.594,10.17,9.62,0.1,8.21,7.53,165.82,8.18,165.82,0.074,M,P157+40    ,4,1,157.17946,39.838886,8455-3701  ,157.17946,39.838886,0.029513,0,1,0,0,0,0,0,1,1,1,,43.981155,45.116276,0,0,0,1,Sloan,Simbad,NED,135,0.177434074
127.13129,26.34868,ILTJ082831.51+262055.2,127.13129,26.34868,https://vo.astron.nl/getproduct/LoTSS-DR2/P126+27    ,14.903,0.127,32.899,1.005,9.32,7.92,0.07,7.14,5.17,76.18,2.62,76.18,0.127,M,P126+27    ,2,1,127.13102,26.348682,9508-6101  ,127.13102,26.348682,0.05317,0,1,0,0,0,0,0,1,1,1,,44.409695,45.549156,0,0,0,1,Sloan,Simbad,NED,373,0.861460898
240.47452,31.89208,ILTJ160153.88+315331.4,240.47452,31.89208,https://vo.astron.nl/getproduct/LoTSS-DR2/P240+33    ,1.17,0.09,14.294,1.357,17.7,9.06,0.6,16.65,6.79,179.66,7.27,179.66,0.09,M,P240+33    ,3,1,240.47508,31.892061,9032-12701 ,240.47508,31.892061,0.044715,0,1,0,0,0,0,0,0,0,0,,0,0,1,45.041573,5.759789,0,Sloan,Simbad,NED,284,1.727024256
163.25243,43.04958,ILTJ105300.58+430258.4,163.25243,43.04958,https://vo.astron.nl/getproduct/LoTSS-DR2/P163+42    ,14.264,0.064,203.521,1.385,82.22,16.25,0.14,82,15.1,157.36,0.72,157.36,0.064,M,P163+42    ,3,1,163.2499,43.048615,8254-6101  ,163.2499,43.048615,0.1483,0,1,0,0,0,0,0,1,1,1,LERG,46.053974,47.209686,0,0,0,1,Sloan,Simbad,NED,81,7.515023961
